"PROVIDER_NAME","PROVIDER_NUMBER","PROVIDER_STREET","PROVIDER_CITY","PROVIDER_COUNTY","PROVIDER_STATE","PROVIDER_ZIP_CODE","PROVIDER_ZIP_CODE_PLUS_4","PROGRAM_NAME","PROGRAM_NUMBER","PROGRAM_COUNTY","PROGRAM_STREET_ADDRESS","PROGRAM_CITY","PROGRAM_STATE","PROGRAM_ZIP_CODE","PROGRAM_ZIP_CODE_PLUS_4","PROGRAM_DIRECTOR","PROGRAM_DIRECTOR_EMAIL","PROGRAM_DIRECTOR_TELEPHONE","PROGRAM_DIRECTOR_PHONE_EXTENSION","PROGRAM_TYPE","SERVICE_TYPE","ADMISSION_PHONE","ADMISSION_PHONE_EXT","TELEHEALTH_SERVICES","ADOLESCENT_DESIGNATION","PROBLEM_GAMBLING","INTEGRATED_LICENSE_SERVICE","PARENTS_WITH_CHILDREN","LGBTQ_ENDORSEMNT","ADDITIONAL_LOCATION_STREET","ADDITIONAL_LOCATION_CITY","ADDITIONAL_LOCATION_ZIP","ADDITIONAL_LOCATION_COUNTYNAME"
"Anchor House, Inc.","610","1041 Bergen St","Brooklyn","Kings","NY","11216","3307","Anchor House, Inc. SRR","53207","Kings","976 Park Pl","Brooklyn","NY","11213","1803","Mr. Edgar Sanchez CASAC","esanchez@anchorhouseinc.com","7187568673","122","Residential Services","820 Stabil Rehab Reintegration","7187710760","123","Y","","","","","","","","",""
"Anchor House, Inc.","610","1041 Bergen St","Brooklyn","Kings","NY","11216","3307","Anchor House, Inc. SRR 1","53208","Kings","1041-1047 Bergen St","Brooklyn","NY","11216","3307","Mr. Edgar Sanchez CASAC","esanchez@anchorhouseinc.com","7187710760","122","Residential Services","820 Stabil Rehab Reintegration","7187710760","123","Y","","","","","","","","",""
"Beth Israel Medical Center","83040","125th Street","New York","New York","NY","10035","1641","Vincent P. Dole Clinic OTP","53131","Kings","25 12th St","Brooklyn","NY","11215","8019","Mr. Stafford Faulknnor","stafford.faulknor@mountsinai.org","7189657901","","Opioid Treatment","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"Bridge Back to Life Center, Inc.","2050","1065 Stewart Ave Suite 101","Bethpage","Nassau","NY","11714","3637","Bridge Back to Life Ctr Inc. OP 3","7180","Kings","175 Remsen St","Brooklyn","NY","11201","4333","Ms. Desiree Dickens","ddickens@bridgebacktolife.com","7188525552","","Outpatient Services","Outpatient Clinic","7188525552","","Y","","","","","","","","",""
"Bridge Back to Life Center, Inc.","2050","1065 Stewart Ave Suite 101","Bethpage","Nassau","NY","11714","3637","Bridge Back to Life Ctr Inc. OP 4","7356","Kings","3044 Coney Island Ave","Brooklyn","NY","11235","5660","Mr. Justin Sangeorge LMSW","jsangeorge@bridgebacktolife.com","7182654200","","Outpatient Services","Outpatient Clinic","7182654200","","Y","","","","","","","","",""
"Bridging Access to Care, Inc.","31640","2261 Church Ave","Brooklyn","Kings","NY","11226","3201","Bridging Access to Care, Inc. OP","7275","Kings","2261 Church Ave","Brooklyn","NY","11226","3201","Mr. Daniel Beath LCSW","dbeath@bac-ny.org","3475055182","","Outpatient Services","Outpatient Clinic","3475055182","","Y","","","","","","260 Broadway","Brooklyn","11211","Kings"
"Brooklyn Center for Psychotherapy, Inc","32130","300 Flatbush Avenue","Brooklyn","Kings","NY","11217","1813","New Directions OP","50337","Kings","300 Flatbush Ave","Brooklyn","NY","11217","","Ms. Carol Morrison LCSW","cmorrison@newdirectionsclinic.com","7183980800","","Outpatient Services","Outpatient Clinic","7183980800","","Y","","","Mental Health","","","","","",""
"Brooklyn Hospital Center","27480","121 DeKalb Ave","Brooklyn","Kings","NY","11201","5425","Brooklyn Hospital Center MMD","8033","Kings","121 DeKalb Ave","Brooklyn","NY","11201","5425","Ms. Catherine Lashley RN","regulatory@tbh.org","3475634741","","Crisis Services","Medical Managed Detoxification","7182508900","","","","","","","","","","",""
"Brownsville Comm Develop.Corp., Inc.","45250","592 Rockaway Avenue","Brooklyn","Kings","NY","11212","","Brownsville Community Development CR","51330","Kings","657-663 E 98th St","Brooklyn","NY","11236","1305","Mrs. Michele Leeheung MSW","mhueng@bmsfhc.org","7183458605","4413","Residential Services","Community Residential","7183458605","4412","","","","","","","","","",""
"C.C.M.S.","19430","810 Classon Avenue","Brooklyn","Kings","NY","11238","","C.C.M.S. OP","7277","Kings","810 Classon Ave","Brooklyn","NY","11238","","Ms. Cynthia Di Fan","cfan@ccmnyc.org","7182305100","","Outpatient Services","Outpatient Clinic","","","","","","","","","25 Elm Place","Brooklyn","11201","Kings"
"Catholic Charities Neighborhood Svcs.","40490","191 Joralemon St","Brooklyn","Kings","NY","11201","4306","Catholic Charities Neighborhood Svc OP","51149","Kings","1623 Flatbush Ave","Brooklyn","NY","11210","","Ms. Rebecca Herman","rebecca.herman@ccbq.org","7189519009","","Outpatient Services","Outpatient Clinic","7189519009","","Y","","","","","","18-47 Mott Avenue","Far Rockaway","11691","Queens"
"Center for Community Alternatives, Inc","2136","25 Chapel St","Brooklyn","Kings","NY","11201","1954","Crossroads to Recovery OP","6520","Kings","25 Chapel St","Brooklyn","NY","11201","","Ms. Vanessa Piedra","vpiedra@communityalternatives.org","7188589658","410","Outpatient Services","Outpatient Clinic","7188589658","430","Y","","","","","","","","",""
"Center for Community Alternatives, Inc","2136","25 Chapel St","Brooklyn","Kings","NY","11201","1954","Crossroads to Recovery OTP","53763","Kings","25 Chapel St","Brooklyn","NY","11201","","Ms. Vanessa Piedra","vpiedra@communityalternatives.org","7188589658","410","Opioid Treatment","Opioid Outpatient Treatment","7188589658","430","Y","","","","","","","","",""
"Counseling Service of E.D.N.Y., Inc.","80","175 Remsen St","Brooklyn","Kings","NY","11201","4333","Counseling Service of E.D.N.Y. OP 2","6285","Kings","175 Remsen St","Brooklyn","NY","11201","4333","Ms. Mo'Nique Murray MA","monique.murray@csedny.org","7188586631","36","Outpatient Services","Outpatient Clinic","7188586631","","Y","","","","","","","","",""
"Cumberland D/TC (HHC)","85450","100 North Portland Ave","Brooklyn","Kings","NY","11205","2005","Alcoholism Treatment Program OP","51910","Kings","100 N Portland Ave","Brooklyn","NY","11205","","Ms. Purnima Popli","poplip@nychhc.org","6469370785","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","185 Marcy Avenue","Brooklyn","11211","Kings"
"Cumberland D/TC (HHC)","85450","100 North Portland Ave","Brooklyn","Kings","NY","11205","2005","Alcoholism Treatment Program OP R","53165","Kings","100 N Portland Ave","Brooklyn","NY","11205","","Ms. Purnima Popli","poplip@nychhc.org","6469370785","","Outpatient Services","Outpatient Rehabilitation","","","Y","","","","","","","","",""
"Dynamic Youth Community Inc","105","1830 Coney Island Ave","Brooklyn","Kings","NY","11230","6502","Dynamic Youth Community Inc CR","52160","Kings","1830 Coney Island Ave","Brooklyn","NY","11230","6502","Mr. Scott Lynch CASAC","Kcarlini@dycinc.org","7183767923","","Residential Services","Community Residential","7183767923","","Y","","","","","","","","",""
"Dynamic Youth Community Inc","105","1830 Coney Island Ave","Brooklyn","Kings","NY","11230","6502","Dynamic Youth Community Inc OP","528","Kings","1830 Coney Island Ave","Brooklyn","NY","11230","6502","Mr. William Fusco CASAC","wfusco@dycinc.org","7183767923","","Outpatient Services","Outpatient Clinic","7183767923","","Y","","","","","","1808 Coney Island Avenue","Brooklyn","11230","Kings"
"El Regreso, Inc.","1522","141 South 3rd Street","Brooklyn","Kings","NY","11211","5509","El Regreso Inc., SRR","53566","Kings","141-143 S 3rd St","Brooklyn","NY","11211","5509","Mr. Jonathan Sesman LMSW","jsesman@elregreso.org","7183846400","","Residential Services","820 Stabil Rehab Reintegration","","","","","","","","","","","",""
"El Regreso, Inc.","1522","141 South 3rd Street","Brooklyn","Kings","NY","11211","5509","El Regreso, Inc. Men's Residential SRR","53815","Kings","189 S 2nd St","Brooklyn","NY","11211","","Mr. Jonathan Sesman LMSW","jsesman@elregreso.org","7183846400","","Residential Services","820 Stabil Rehab Reintegration","","","","","","","","","","","",""
"El Regreso, Inc.","1522","141 South 3rd Street","Brooklyn","Kings","NY","11211","5509","El Regreso, Inc. OP","6321","Kings","141-143 S 3rd St","Brooklyn","NY","11211","","Ms. Maricella Gilbert LCSW","mgilbert@elregreso.org","7187826802","8581","Outpatient Services","Outpatient Clinic","","","Y","","","Mental Health","","","","","",""
"First Steps to Recovery, Inc.","2090","312 West 47th Street","New York","New York","NY","10036","3101","First Steps to Recovery OP 1","7334","Kings","2990 Brighton 12th St","Brooklyn","NY","11235","4755","Mr. Ronald Clinton MSW","ron@firststepstorecoveryny.com","8009297972","800","Outpatient Services","Outpatient Clinic","8009297942","798","Y","","","","","","","","",""
"Genesis Detox of Brooklyn, LLC","49600","449 39th Street","Brooklyn","Kings","NY","11232","2909","Genesis Detox of Brooklyn, LLC MSW IP","53059","Kings","449 39th St","Brooklyn","NY","11232","2909","Ms. Connie Pentony-Brown","cpb@genesisdob.com","7186334673","104","Crisis Services","Med Sup Withdrawal - Inpatient","","","","","","","","","","","",""
"Genesis Detox of Brooklyn, LLC","49600","449 39th Street","Brooklyn","Kings","NY","11232","2909","Genesis DOB Outpatient OP","53790","Kings","449 39th St","Brooklyn","NY","11232","","Ms. Connie Pentony-Brown","cpb@genesisdob.com","7186334673","","Outpatient Services","Outpatient Clinic","7186334673","106","Y","","","","","","","","",""
"Hands On Health Associates, LLC","48040","249 Pennsylvania Ave","Brooklyn","Kings","NY","11207","3436","Hands On Health Associates, LLC OP","52619","Kings","249 Pennsylvania Ave","Brooklyn","NY","11207","3436","Barukho Babayeva CASAC","bbabayeva@handsonny.com","3475473626","1007","Outpatient Services","Outpatient Clinic","3475473626","1006","Y","","","","","","","","",""
"HealthCare Choices NY, Inc.","49950","6209 16th Ave","Brooklyn","Kings","NY","11204","2702","HealthCare Choices NY, Inc. OP","53210","Kings","6209 16th Ave","Brooklyn","NY","11204","2702","Gilbert M Bell","gmbell@healthcarechoicesny.org","7182340073","","Outpatient Services","Outpatient Clinic","7182340073","","Y","","","","","","","","",""
"Housing Works Community Healthcare","48960","57 Willoughby St","Brooklyn","Kings","NY","11201","","Housing Works Community Healthcare OP","52958","Kings","2640 Pitkin Ave","Brooklyn","NY","11208","","Megan Dougherty","m.dougherty@housingworks.org","9176536117","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Institute for Community Living, Inc.","19340","125 Broad St","New York","Kings","NY","10004","","Institute for Community Living, Inc OP","53544","Kings","2581 Atlantic Ave","Brooklyn","NY","11207","","Hope Mitchell LMSW","Drucilla.williams@iclinc.net","9296261070","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Jewish Board - Family & Children's Ser","21290","463 7th Ave","New York","New York","NY","10018","7604","Jewish Board - Family/Child Srvcs OP","53786","Kings","1007 Quentin Rd","Brooklyn","NY","11223","2341","Deborah Zicht","dzicht@jbfcs.org","7189983235","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Journeys","49320","1049 38th St","Brooklyn","Kings","NY","11219","1012","Journeys OP","52957","Kings","1049 38th St","Brooklyn","NY","11219","","Dr. Irwin Lenefsky","ilenefsky@yahoo.com","7187040200","103","Outpatient Services","Outpatient Clinic","7187040200","103","Y","","","","","","","","",""
"Kings County Hospital Center (HHC)","87030","451 Clarkson Ave","Brooklyn","Kings","NY","11203","","Cultivating Dreams Together OP Ther OP","51909","Kings","410 Winthrop St","Brooklyn","NY","11203","","Ms. Sasha Ashton CASAC","Sasha.Ashton@nychhc.org","7182454878","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Kings County Hospital Center (HHC)","87030","451 Clarkson Ave","Brooklyn","Kings","NY","11203","","Kings Co. Hosp. OTP 2","920","Kings","591 Kingston Ave","Brooklyn","NY","11203","1707","Ms. Maria West CASAC","Maria.West@nychhc.org","7182452635","","Opioid Treatment","Opioid Outpatient Treatment","7182452631","","Y","","","","","","","","",""
"Kings County Hospital Center (HHC)","87030","451 Clarkson Ave","Brooklyn","Kings","NY","11203","","Kings County Hosp. Cntr. (HHC) OP R 1","53163","Kings","410 Winthrop St","Brooklyn","NY","11203","","Ms. Sasha Ashton CASAC","Sasha.Ashton@nychhc.org","7182454326","","Outpatient Services","Outpatient Rehabilitation","","","Y","","","","","","","","",""
"Kingsboro Addiction Treatment Center","90014","754 Lexington Avenue","Brooklyn","Kings","NY","11221","2944","Kingsboro ATC IP","53442","Kings","754 Lexington Ave","Brooklyn","NY","11221","2944","Ms. Vibeke Velez","Vibeke.Velez@oasas.ny.gov","7184533200","3474","Inpatient Treatment Services","Inpatient Rehabilitation","","","Y","","Y","","","","","","",""
"Kingsboro Addiction Treatment Center","90014","754 Lexington Avenue","Brooklyn","Kings","NY","11221","2944","Kingsboro ATC MSW IP","51996","Kings","754 Lexington Ave","Brooklyn","NY","11221","2944","Ms. Vibeke Velez","Vibeke.Velez@oasas.ny.gov","7184533200","3474","Crisis Services","Med Sup Withdrawal - Inpatient","","","Y","","","","","","","","",""
"LSA Recovery (IDCC)","15410","1623 Kings Hwy","Brooklyn","Kings","NY","11229","1209","LSA Recovery (IDCC) OP","53511","Kings","1664 E 14th St","Brooklyn","NY","11229","1209","Ms. Ertuania Jorge CASAC","ejorge@lsarecovery.org","9733429106","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","1117 Eastern Parkway","Brooklyn","11213","Kings"
"LSA Recovery (IDCC)","15410","1623 Kings Hwy","Brooklyn","Kings","NY","11229","1209","LSA Recovery (IDCC) OP","53511","Kings","1664 E 14th St","Brooklyn","NY","11229","1209","Ms. Ertuania Jorge CASAC","ejorge@lsarecovery.org","9733429106","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","2846 Stillwell Avenue","Brooklyn","11224","Kings"
"N. Crown Heights Family Outreach Ctr","42930","763-765 Nostrand Ave","Brooklyn","Kings","NY","11216","4203","N. Crown Heights Family Outreach OP","51973","Kings","763-765 Nostrand Ave","Brooklyn","NY","11216","","Ms. Susana Dobrer","nchfoc@aol.com","7182308600","","Outpatient Services","Outpatient Clinic","7182308600","","Y","","","","","","","","",""
"New York Psychotherapy & Counslng Cntr","15450","176-20 148th Ave","Jamaica","Queens","NY","11434","","New York Psychthrpy & Counslng Cntr OP","53883","Kings","102 Pilling St","Brooklyn","NY","11207","","Jill Mastrandrea","jmastrandrea@nypcc.org","7187049870","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"New York Therapeutic Communities, Inc.","587","266 W 37th St","New York","New York","NY","10018","","NY Therapeutic Communities, Inc. OP","51994","Kings","2071 Fulton St","Brooklyn","NY","11233","3331","Ms. Susan James CASAC","sjames@staynout.org","3477708650","","Outpatient Services","Outpatient Clinic","3477708650","","Y","","","","","","","","",""
"New York Therapeutic Communities, Inc.","587","266 W 37th St","New York","New York","NY","10018","","Serendipity I John David Cntr IR","5682","Kings","2071 Fulton St","Brooklyn","NY","11233","","Mr. Cesar A Sosa CASAC","csosa@staynout.org","7183980096","","Residential Services","Intensive Residential","7183980096","","","","","","","","","","",""
"New York Therapeutic Communities, Inc.","587","266 W 37th St","New York","New York","NY","10018","","Serendipity II Madeline Randers Ctr IR","7191","Kings","944 Bedford Ave","Brooklyn","NY","11205","","Ms. Lisa Alexander CASAC","lalexander@staynout.org","7188020572","","Residential Services","Intensive Residential","7188020572","","","","","","","","","","",""
"NYC Health + Hospitals/S Brooklyn Hlth","87050","2925 West 19 Street","Brooklyn","Kings","NY","11224","","NYC Health+Hospitals/SBrooklyn Hlth OP","50320","Kings","2925 W 19th St","Brooklyn","NY","11224","","Mr. Sal Florio LCSW","Sal.Florio@nychhc.org","7186166031","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Ohel Children's and Family Services, I","19210","1268 E 14th St","Brooklyn","Kings","NY","11230","5241","Ohel Children's and Family Services OP","53710","Kings","1268 E. 14th St","Brooklyn","NY","11230","5241","Mr. Shalom Augenbaum","shalom_Augenbaum@ohelfamily.org","7186863460","","Outpatient Services","Outpatient Clinic","","","","","","","","","","","",""
"Outreach Development Corporation","31360","117-11 Myrtle Ave","Richmond Hill","Queens","NY","11418","1751","Outreach Development Corporation OP","51847","Kings","960 Manhattan Ave","Brooklyn","NY","11222","1625","Christy Mathurin MSW","Christymathurin@opiny.org","7183837200","","Outpatient Services","Outpatient Clinic","7183837200","","Y","","","","","","","","",""
"Pesach Tikvah-Hope Development, Inc.","21890","926 Bedford Ave","Brooklyn","Kings","NY","11205","5191","Pesach Tikvah-Hope Dvlpmnt Inc. OP","53708","Kings","926 Bedford Ave","Brooklyn","NY","11205","","Yechiel Benedikt","ybenedikt@pesachtikvah.org","8482233804","","Outpatient Services","Outpatient Clinic","3475630185","","","","","","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","Ny","10457","","PROMESA, Inc. OP5","53738","Kings","561 Court St","Brooklyn","NY","11231","","Mrs. Catherine McGee CASAC","amamelka@greenhope.org","9175991215","","Outpatient Services","Outpatient Clinic","","","Y","","","Mental Health","","","","","",""
